d_loss, g_loss
-5.2455134, 4.654419
-6.383594, 4.281649
-4.8318567, 4.291969
-5.774128, 3.160803
-1.9766703, 3.152934
-3.4104319, 4.326207
-3.8773935, 4.059574
-4.173807, 3.9240398
-7.1320014, 3.8740978
-4.9229336, 4.535865
-5.921863, 4.4205513
-3.8273091, 3.801398
-5.5679626, 4.769288
-6.68653, 3.7729502
-2.7311041, 2.3353772
-4.8033624, 4.7687597
-6.1365275, 4.548279
-3.9095976, 5.3760557
-5.2805176, 2.6530154
-4.6656446, 3.1248436
-6.690041, 3.7058659
-5.6552196, 5.009386
-6.3272367, 3.156513
-2.851007, 2.764964
-4.6898694, 5.142112
-5.8115945, 4.1243057
-4.8138113, 4.132517
-4.9859357, 2.594594
-5.6369147, 4.5495987
-4.570818, 4.0022354
-4.231003, 3.5003753
-3.8576934, 2.5610044
-5.441413, 3.7243369
-4.521758, 4.4758615
-4.740603, 3.58775
-3.9463592, 3.7817235
-4.319755, 3.438474
-4.056452, 2.2477894
-4.9463325, 3.7180924
-5.1944947, 3.1415215
-3.2732005, 3.298879
-4.142986, 2.482308
-5.230477, 4.907981
-6.4388165, 5.4958606
-4.4579015, 3.850834
-5.321378, 4.4519634
-5.6257677, 4.8565874
-3.6864595, 3.248159
-5.7473373, 5.0428243
-4.816771, 3.6285248
-4.556262, 4.51597
-6.404601, 3.3769891
-4.5497236, 5.037812
-4.9169545, 3.6817222
-3.4038644, 4.113009
-4.891198, 4.751622
-4.162072, 2.8709521
-3.1903417, 4.7415304
-3.607595, 4.1868773
-5.04503, 2.7447977
-4.122159, 3.9365678
-4.413005, 3.988757
-5.469565, 4.9423094
-4.3124285, 4.7703686
-3.3040786, 3.4550238
-3.750668, 2.9757771
-4.887124, 4.635544
-2.9642246, 2.6476312
-3.8541467, 4.1312475
-3.3888464, 3.6602793
-5.013605, 3.9528396
-3.9750533, 4.249181
-4.3579025, 3.815667
-4.8813453, 4.050193
-5.5370455, 1.9229281
-2.5945377, 2.083211
-3.4209385, 2.9071107
-2.9961543, 3.3724194
-2.8514376, 2.2990885
-6.6018043, 3.6620836
-4.1313524, 2.1936493
-4.705602, 1.5121602
-3.243401, 3.6776505
-4.001148, 3.6726055
-3.8774672, 3.9868286
-3.769986, 3.1526449
-3.339404, 3.0248947
-5.991844, 2.587707
-3.9545856, 3.9061418
-5.322671, 3.1996908
-4.1423473, 3.083905
-3.2584658, 2.7717714
-4.3148565, 3.6599
-3.4540126, 4.1447234
-2.62774, 3.3093705
-2.957252, 3.48481
-4.07144, 4.2315564
-3.7210584, 3.701128
-4.243191, 4.649128
-2.5156128, 3.0746994
-5.8039575, 4.3238773
-4.33422, 3.1223655
-2.656445, 3.5663614
-3.973842, 4.718792
-4.8399086, 4.276802
-4.9906406, 3.777073
-3.6574817, 3.496107
-4.8183064, 5.061995
-5.309926, 4.4832697
